date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Winner:home,special:Winner:away
2020-09-09,LCK,2020.0,summer,GenG,T1,unikrn,2020-09-09 23:00:00,,,
2020-09-09,LCK,2020.0,summer,GenG,T1,unikrn,2020-09-09 23:00:00,,,
2020-09-09,LCK,2020.0,summer,GenG,T1,unikrn,2020-09-09 23:00:00,3.0,1.61,2.2
