date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,over_under:Total Barons Slain:1.50:over,over_under:Total Barons Slain:1.50:under,over_under:Total Dragons Slain:4.50:over,over_under:Total Dragons Slain:4.50:under,over_under:Total Towers Destroyed:12.50:over,over_under:Total Towers Destroyed:12.50:under,over_under:Total Towers Destroyed:11.50:over,over_under:Total Towers Destroyed:11.50:under
2020-09-25,World Championship,2020.0,summer,Legacy Esports,TL,unikrn,2020-09-21 23:00:00,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,LGD,V3 Esports,unikrn,2020-09-21 23:00:00,1.0,1.33,3.25,10.0,1.06,3.25,1.33,1.83,1.83,,,1.83,1.83
2020-09-26,World Championship,2020.0,summer,LGD,V3 Esports,unikrn,2020-09-21 23:00:00,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,LGD,V3 Esports,unikrn,2020-09-21 23:00:00,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Rainbow7,Unicorns Of Love,unikrn,2020-09-21 23:00:00,1.0,2.37,1.53,10.0,1.06,2.75,1.4,1.61,2.2,2.0,1.72,,
2020-09-26,World Championship,2020.0,summer,Rainbow7,Unicorns Of Love,unikrn,2020-09-21 23:00:00,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Rainbow7,Unicorns Of Love,unikrn,2020-09-21 23:00:00,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Talon Esports,V3 Esports,unikrn,2020-09-21 23:00:00,1.0,1.66,2.1,8.0,1.08,2.62,1.44,1.5,2.5,,,1.66,2.1
2020-09-26,World Championship,2020.0,summer,Talon Esports,V3 Esports,unikrn,2020-09-21 23:00:00,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Talon Esports,V3 Esports,unikrn,2020-09-21 23:00:00,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,LGD,Unicorns Of Love,unikrn,2020-09-21 23:00:00,1.0,1.44,2.62,10.0,1.06,3.0,1.36,1.61,2.2,,,1.83,1.83
2020-09-26,World Championship,2020.0,summer,LGD,Unicorns Of Love,unikrn,2020-09-21 23:00:00,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,LGD,Unicorns Of Love,unikrn,2020-09-21 23:00:00,,,,,,,,,,,,,
