date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,over_under:Total Towers Destroyed:12.50:over,over_under:Total Towers Destroyed:12.50:under,over_under:Total Dragons Slain:4.50:over,over_under:Total Dragons Slain:4.50:under,over_under:Total Barons Slain:1.50:over,over_under:Total Barons Slain:1.50:under,over_under:Total Towers Destroyed:11.50:over,over_under:Total Towers Destroyed:11.50:under
2020-10-05,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-10-05 11:00:00,1.0,2.5,1.5,10.0,1.06,2.25,1.57,1.83,1.83,3.25,1.33,,
2020-10-05,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,TL,Suning,unikrn,2020-10-05 11:00:00,1.0,2.2,1.61,10.0,1.06,,,1.57,2.25,2.75,1.4,1.66,2.1
2020-10-05,World Championship,2020.0,summer,TL,Suning,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,TL,Suning,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,Damwon,Talon Esports,unikrn,2020-10-05 11:00:00,1.0,1.36,3.0,10.0,1.06,,,2.37,1.53,3.5,1.28,2.2,1.61
2020-10-05,World Championship,2020.0,summer,Damwon,Talon Esports,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,Damwon,Talon Esports,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,JDG,Rogue,unikrn,2020-10-05 11:00:00,1.0,1.61,2.2,10.0,1.06,,,1.66,2.1,2.75,1.4,1.72,2.0
2020-10-05,World Championship,2020.0,summer,JDG,Rogue,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,JDG,Rogue,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,FlyQuest,Unicorns Of Love,unikrn,2020-10-05 11:00:00,1.0,1.83,1.83,7.0,1.1,,,1.57,2.25,2.5,1.5,1.72,2.0
2020-10-05,World Championship,2020.0,summer,FlyQuest,Unicorns Of Love,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,FlyQuest,Unicorns Of Love,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,TES,DragonX,unikrn,2020-10-05 11:00:00,1.0,1.57,2.25,10.0,1.06,,,1.57,2.25,2.75,1.4,1.66,2.1
2020-10-05,World Championship,2020.0,summer,TES,DragonX,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,TES,DragonX,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,G2,TL,unikrn,2020-10-05 11:00:00,1.0,1.61,2.2,10.0,1.06,,,,,,,,
2020-10-06,World Championship,2020.0,summer,G2,TL,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,G2,TL,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,Suning,Machi Esports,unikrn,2020-10-05 11:00:00,1.0,1.53,2.37,10.0,1.06,,,1.66,2.1,3.0,1.36,1.72,2.0
2020-10-06,World Championship,2020.0,summer,Suning,Machi Esports,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,Suning,Machi Esports,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,DragonX,FlyQuest,unikrn,2020-10-05 11:00:00,1.0,1.53,2.37,10.0,1.06,,,1.72,2.0,3.25,1.33,1.83,1.83
2020-10-06,World Championship,2020.0,summer,DragonX,FlyQuest,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,DragonX,FlyQuest,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,TES,Unicorns Of Love,unikrn,2020-10-05 11:00:00,1.0,1.33,3.25,10.0,1.06,,,,,,,,
2020-10-06,World Championship,2020.0,summer,TES,Unicorns Of Love,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,TES,Unicorns Of Love,unikrn,2020-10-05 11:00:00,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,Fnatic,GenG,unikrn,2020-10-05 11:00:00,1.0,2.1,1.66,8.0,1.08,2.25,1.57,1.53,2.37,2.62,1.44,,
