date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time,over_under:Total Maps Played:2.50:over,over_under:Total Maps Played:2.50:under,handicap:set_handicap:-1.50:home,handicap:set_handicap:+1.50:away
2020-09-16,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,unikrn,1.50,2.50,2020-09-16 23:00:00,2.0,1.72,2.5,1.5
2020-09-16,European Masters,2020.0,summer,mousesports,K1CK Neosurf,unikrn,1.44,2.62,2020-09-16 23:00:00,2.0,1.72,2.37,1.53
