date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,over_under:Total Towers Destroyed:12.50:over,over_under:Total Towers Destroyed:12.50:under,over_under:Total Dragons Slain:4.50:over,over_under:Total Dragons Slain:4.50:under,over_under:Total Barons Slain:1.50:over,over_under:Total Barons Slain:1.50:under,over_under:Total Towers Destroyed:11.50:over,over_under:Total Towers Destroyed:11.50:under,correct_number:Total Dragons Slain:Five,correct_number:Total Dragons Slain:Four,correct_number:Total Dragons Slain:Seven or More,correct_number:Total Dragons Slain:Six,correct_number:Total Dragons Slain:Three,correct_number:Total Dragons Slain:Up to Two,correct_number:Total Barons Slain:Four or More,correct_number:Total Barons Slain:One,correct_number:Total Barons Slain:Three,correct_number:Total Barons Slain:Two,correct_number:Total Barons Slain:Zero,correct_number:Total Towers Destroyed:Eleven,correct_number:Total Towers Destroyed:Fifteen,correct_number:Total Towers Destroyed:Fourteen,correct_number:Total Towers Destroyed:Seventeen or More,correct_number:Total Towers Destroyed:Sixteen,correct_number:Total Towers Destroyed:Ten,correct_number:Total Towers Destroyed:Thirteen,correct_number:Total Towers Destroyed:Twelve,correct_number:Total Towers Destroyed:Up to Nine
2020-09-26,World Championship,2020.0,summer,Rainbow7,V3 Esports,unikrn,2020-09-26 11:00:00,1.0,1.83,1.83,7.0,1.1,2.2,1.61,1.4,2.75,2.37,1.53,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Rainbow7,V3 Esports,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Rainbow7,V3 Esports,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,INTZ,Papara SuperMassive,unikrn,2020-09-26 11:00:00,1.0,2.2,1.61,8.0,1.08,2.25,1.57,1.53,2.37,2.62,1.44,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,INTZ,Papara SuperMassive,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,INTZ,Papara SuperMassive,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Unicorns Of Love,V3 Esports,unikrn,2020-09-26 11:00:00,1.0,1.44,2.62,10.0,1.06,2.5,1.5,1.66,2.1,3.0,1.36,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Unicorns Of Love,V3 Esports,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Unicorns Of Love,V3 Esports,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,LGD,Rainbow7,unikrn,2020-09-26 11:00:00,1.0,1.36,3.0,10.0,1.06,,,1.83,1.83,3.5,1.28,1.83,1.83,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,LGD,Rainbow7,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,LGD,Rainbow7,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Talon Esports,Unicorns Of Love,unikrn,2020-09-26 11:00:00,1.0,2.0,1.72,7.0,1.1,2.2,1.61,1.53,2.37,2.62,1.44,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Talon Esports,Unicorns Of Love,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Talon Esports,Unicorns Of Love,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,MAD,Papara SuperMassive,unikrn,2020-09-26 11:00:00,1.0,1.53,2.37,10.0,1.06,2.25,1.57,1.57,2.25,3.0,1.36,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,MAD,Papara SuperMassive,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
