date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,over_under:Total Towers Destroyed:12.50:over,over_under:Total Towers Destroyed:12.50:under,over_under:Total Dragons Slain:4.50:over,over_under:Total Dragons Slain:4.50:under,over_under:Total Barons Slain:1.50:over,over_under:Total Barons Slain:1.50:under,over_under:Total Towers Destroyed:11.50:over,over_under:Total Towers Destroyed:11.50:under,correct_number:Total Dragons Slain:Five,correct_number:Total Dragons Slain:Four,correct_number:Total Dragons Slain:Seven or More,correct_number:Total Dragons Slain:Six,correct_number:Total Dragons Slain:Three,correct_number:Total Dragons Slain:Up to Two,correct_number:Total Barons Slain:Four or More,correct_number:Total Barons Slain:One,correct_number:Total Barons Slain:Three,correct_number:Total Barons Slain:Two,correct_number:Total Barons Slain:Zero,correct_number:Total Towers Destroyed:Eleven,correct_number:Total Towers Destroyed:Fifteen,correct_number:Total Towers Destroyed:Fourteen,correct_number:Total Towers Destroyed:Seventeen or More,correct_number:Total Towers Destroyed:Sixteen,correct_number:Total Towers Destroyed:Ten,correct_number:Total Towers Destroyed:Thirteen,correct_number:Total Towers Destroyed:Twelve,correct_number:Total Towers Destroyed:Up to Nine
2020-09-26,World Championship,2020.0,summer,MAD,Papara SuperMassive,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Legacy Esports,TL,unikrn,2020-09-26 11:00:00,1.0,2.62,1.44,10.0,1.06,,,1.57,2.25,2.75,1.4,1.72,2.0,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Legacy Esports,TL,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,World Championship,2020.0,summer,Legacy Esports,TL,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,LGD,V3 Esports,unikrn,2020-09-26 11:00:00,1.0,1.33,3.25,10.0,1.06,,,1.83,1.83,3.25,1.33,1.83,1.83,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,LGD,V3 Esports,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,LGD,V3 Esports,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,Rainbow7,Unicorns Of Love,unikrn,2020-09-26 11:00:00,1.0,2.37,1.53,10.0,1.06,2.0,1.72,1.61,2.2,2.75,1.4,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,Rainbow7,Unicorns Of Love,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,Rainbow7,Unicorns Of Love,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,Talon Esports,V3 Esports,unikrn,2020-09-26 11:00:00,1.0,1.57,2.25,10.0,1.06,,,1.5,2.5,2.62,1.44,1.66,2.1,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,Talon Esports,V3 Esports,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,Talon Esports,V3 Esports,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,LGD,Unicorns Of Love,unikrn,2020-09-26 11:00:00,1.0,1.44,2.62,10.0,1.06,,,1.61,2.2,3.0,1.36,1.83,1.83,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,LGD,Unicorns Of Love,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,World Championship,2020.0,summer,LGD,Unicorns Of Love,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Papara SuperMassive,TL,unikrn,2020-09-26 11:00:00,1.0,2.25,1.57,10.0,1.06,2.25,1.57,1.5,2.5,2.62,1.44,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Papara SuperMassive,TL,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Papara SuperMassive,TL,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Legacy Esports,MAD,unikrn,2020-09-26 11:00:00,1.0,2.75,1.4,10.0,1.06,,,1.72,2.0,3.25,1.33,1.72,2.0,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Legacy Esports,MAD,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Legacy Esports,MAD,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,INTZ,TL,unikrn,2020-09-26 11:00:00,1.0,2.62,1.44,10.0,1.06,2.37,1.53,1.61,2.2,2.62,1.44,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,INTZ,TL,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,INTZ,TL,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Legacy Esports,Papara SuperMassive,unikrn,2020-09-26 11:00:00,1.0,2.2,1.61,8.0,1.08,,,1.53,2.37,2.75,1.4,1.83,1.83,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Legacy Esports,Papara SuperMassive,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Legacy Esports,Papara SuperMassive,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,Suning,Machi Esports,unikrn,2020-09-26 11:00:00,1.0,1.5,2.5,10.0,1.06,,,1.57,2.25,3.0,1.36,1.72,2.0,2.37,2.62,15.0,5.0,15.0,23.0,34.0,1.53,11.0,3.5,10.0,4.33,15.0,9.0,41.0,21.0,5.0,5.0,4.5,8.0
2020-10-06,World Championship,2020.0,summer,Suning,Machi Esports,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,Suning,Machi Esports,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,DragonX,FlyQuest,unikrn,2020-09-26 11:00:00,1.0,1.53,2.37,10.0,1.06,,,1.57,2.25,3.0,1.36,1.83,1.83,2.4,2.8,12.0,6.0,9.0,23.0,34.0,1.53,11.0,3.75,8.5,4.5,15.0,12.0,23.0,19.0,7.0,6.0,4.0,5.0
2020-10-06,World Championship,2020.0,summer,DragonX,FlyQuest,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,DragonX,FlyQuest,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,Fnatic,GenG,unikrn,2020-09-26 11:00:00,1.0,2.1,1.66,8.0,1.08,2.25,1.57,1.44,2.62,2.62,1.44,,,2.3,3.0,12.0,4.0,21.0,34.0,23.0,1.53,15.0,3.2,12.0,5.0,15.0,8.0,26.0,21.0,6.0,4.5,4.33,8.0
2020-10-06,World Championship,2020.0,summer,Fnatic,GenG,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,Fnatic,GenG,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,Machi Esports,Suning,unikrn,2020-09-26 11:00:00,1.0,2.5,1.5,10.0,1.06,,,1.57,2.25,3.0,1.36,1.72,2.0,2.37,2.62,15.0,5.0,15.0,23.0,34.0,1.53,11.0,3.5,10.0,4.33,15.0,9.0,41.0,21.0,5.0,5.0,4.5,8.0
2020-10-08,World Championship,2020.0,summer,Machi Esports,Suning,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,Machi Esports,Suning,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-09-26 11:00:00,1.0,1.44,2.62,10.0,1.06,2.37,1.53,1.83,1.83,3.25,1.33,,,2.62,2.62,19.0,5.5,7.0,26.0,34.0,1.6,23.0,3.6,5.5,4.5,12.0,8.0,26.0,21.0,6.5,4.5,4.33,10.0
2020-10-08,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-26 11:00:00,1.0,1.83,1.83,7.0,1.1,2.0,1.72,1.5,2.5,2.5,1.5,,,2.5,2.87,12.0,4.5,10.0,34.0,34.0,1.61,15.0,3.2,7.5,5.5,12.0,7.0,21.0,15.0,7.5,4.0,4.5,10.0
2020-10-08,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
