date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time,over_under:Total Maps Played:2.50:over,over_under:Total Maps Played:2.50:under,handicap:set_handicap:+1.50:home,handicap:set_handicap:-1.50:away,handicap:set_handicap:-1.50:home,handicap:set_handicap:+1.50:away
2020-09-16,European Masters,2020.0,summer,Vodafone Giants,Team GamerLegion,unikrn,1.28,3.50,2020-09-16 11:00:00,,,,,,
2020-09-16,European Masters,2020.0,summer,GamersOrigin,LDLC OL,unikrn,1.44,2.62,2020-09-16 11:00:00,2.0,1.72,1.53,2.37,,
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,unikrn,1.44,2.62,2020-09-16 11:00:00,2.0,1.72,,,2.37,1.53
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,unikrn,1.36,3.00,2020-09-16 11:00:00,2.2,1.61,,,2.1,1.66
