date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Winner:home,special:Winner:away
2020-09-01,LVP SuperLiga,2020.0,summer,G2 Artic,Vodafone Giants,unikrn,2020-09-01 23:00:00,1.0,1.4,2.75
2020-09-01,LVP SuperLiga,2020.0,summer,G2 Artic,Vodafone Giants,unikrn,2020-09-01 23:00:00,2.0,1.4,2.75
2020-09-01,LVP SuperLiga,2020.0,summer,G2 Artic,Vodafone Giants,unikrn,2020-09-01 23:00:00,3.0,1.4,2.75
2020-09-02,VCS,2020.0,summer,EVOS Esports,GAM Esports,unikrn,2020-09-01 23:00:00,1.0,1.44,2.62
2020-09-02,VCS,2020.0,summer,EVOS Esports,GAM Esports,unikrn,2020-09-01 23:00:00,2.0,1.44,2.62
2020-09-02,VCS,2020.0,summer,EVOS Esports,GAM Esports,unikrn,2020-09-01 23:00:00,3.0,1.44,2.62
