date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time,over_under:Total Maps Played:4.50:over,over_under:Total Maps Played:4.50:under,handicap:set_handicap:-1.50:home,handicap:set_handicap:+1.50:away,special:3-0,special:3-1,special:3-2,special:0-3,special:1-3,special:2-3,special:Team to Score a Quadra Kill:home,special:Team to Score a Quadra Kill:away,special:Team to Score a Penta Kill:home,special:Team to Score a Penta Kill:away,over_under:Total Maps Played:3.50:over,over_under:Total Maps Played:3.50:under,handicap:set_handicap:+1.50:home,handicap:set_handicap:-1.50:away,handicap:set_handicap:-2.50:home,handicap:set_handicap:+2.50:away
2020-08-28,LOL Development League,2020.0,summer,TEC,Team WE Academy,unikrn,2.75,1.40,2020-08-28 11:00:00,2.62,1.44,1.83,1.83,WEACA 3-0:3.5,WEACA 3-1:3.4,WEACA 3-2:4.5,TEC 3-0:15.0,TEC 3-1:7.0,TEC 3-2:6.0,,,,,,,,,,
2020-08-28,OPL,2020.0,summer,ORDER,Legacy Esports,unikrn,3.50,1.28,2020-08-28 11:00:00,,,,,LGC 3-0:3.0,LGC 3-1:3.2,LGC 3-2:4.5,Order 3-0:19.0,Order 3-1:9.0,Order 3-2:7.0,3.6,2.62,15.0,12.0,1.44,2.62,2.2,1.61,,
2020-08-28,LPL,2020.0,summer,LGD,Suning,unikrn,2.20,1.61,2020-08-28 11:00:00,2.5,1.5,2.5,1.5,LGD 3-0:8.0,LGD 3-1:5.5,LGD 3-2:5.0,Suning 3-0:5.5,Suning 3-1:3.8,Suning 3-2:4.33,3.0,3.0,12.0,12.0,,,,,,
2020-08-28,LCK,2020.0,summer,GenG,Afreeca,unikrn,1.10,7.00,2020-08-28 11:00:00,,,,,AF 3-0:23.0,AF 3-1:19.0,AF 3-2:11.0,Gen.G 3-0:2.1,Gen.G 3-1:2.87,Gen.G 3-2:6.0,2.62,4.5,12.0,21.0,1.72,2.0,,,2.1,1.66
2020-08-28,PCS,2020.0,summer,Talon Esports,Machi Esports,unikrn,1.83,1.83,2020-08-28 11:00:00,2.5,1.5,,,Machi Esports 3-0:7.0,Machi Esports 3-1:5.0,Machi Esports 3-2:5.0,PSG Talon 3-0:6.0,PSG Talon 3-1:4.33,PSG Talon 3-2:4.33,3.0,3.0,12.0,12.0,,,1.44,2.62,,
2020-08-28,LOL Development League,2020.0,summer,Shu Dai Xiong Gaming,Dominus Esports.Y,unikrn,1.40,2.75,2020-08-28 11:00:00,2.62,1.44,1.83,1.83,DEY 3-0:15.0,DEY 3-1:7.0,DEY 3-2:6.0,Shu Dai Xiong Gaming 3-0:3.5,Shu Dai Xiong Gaming 3-1:3.4,Shu Dai Xiong Gaming 3-2:4.5,,,,,,,,,,
2020-08-29,LEC,2020.0,summer,MAD,FC Schalke,unikrn,1.57,2.25,2020-08-28 11:00:00,2.5,1.5,2.37,1.53,S04 3-0:7.0,S04 3-1:5.0,S04 3-2:5.0,ML 3-0:5.5,ML 3-1:4.33,ML 3-2:4.5,3.0,3.0,12.0,12.0,,,,,,
2020-08-29,NA Academy League,2020.0,summer,Team SoloMid Academy,Cloud9 Academy,unikrn,2.75,1.40,2020-08-28 11:00:00,2.62,1.44,,,C9.A 3-0:3.5,C9.A 3-1:3.4,C9.A 3-2:4.5,TSM.A 3-0:15.0,TSM.A 3-1:7.0,TSM.A 3-2:6.0,,,,,,,1.83,1.83,,
2020-08-29,LPL,2020.0,summer,IG,FPX,unikrn,1.57,2.25,2020-08-28 11:00:00,,,,,,,,,,,2.8,3.25,12.0,15.0,,,,,,
2020-08-29,VCS,2020.0,summer,Team Flash,GAM Esports,unikrn,3.00,1.36,2020-08-28 11:00:00,2.62,1.44,1.83,1.83,GAM Esports 3-0:3.6,GAM Esports 3-1:3.5,GAM Esports 3-2:4.5,TF 3-0:12.0,TF 3-1:7.0,TF 3-2:6.0,2.8,3.5,12.0,15.0,,,,,,
