date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,over_under:Total Barons Slain:1.50:over,over_under:Total Barons Slain:1.50:under,over_under:Total Dragons Slain:4.50:over,over_under:Total Dragons Slain:4.50:under,over_under:Total Towers Destroyed:12.50:over,over_under:Total Towers Destroyed:12.50:under,over_under:Total Towers Destroyed:11.50:over,over_under:Total Towers Destroyed:11.50:under
2020-09-24,World Championship,2020.0,summer,MAD,INTZ,unikrn,2020-09-22 11:00:00,1.0,2.62,1.44,10.0,1.06,3.0,1.36,1.61,2.2,2.37,1.53,,
2020-09-24,World Championship,2020.0,summer,MAD,INTZ,unikrn,2020-09-22 11:00:00,,,,,,,,,,,,,
2020-09-24,World Championship,2020.0,summer,MAD,INTZ,unikrn,2020-09-22 11:00:00,,,,,,,,,,,,,
2020-09-24,World Championship,2020.0,summer,Talon Esports,Rainbow7,unikrn,2020-09-22 11:00:00,1.0,1.83,1.83,7.0,1.1,2.5,1.5,1.44,2.62,2.2,1.61,,
2020-09-24,World Championship,2020.0,summer,Talon Esports,Rainbow7,unikrn,2020-09-22 11:00:00,,,,,,,,,,,,,
2020-09-24,World Championship,2020.0,summer,Talon Esports,Rainbow7,unikrn,2020-09-22 11:00:00,,,,,,,,,,,,,
2020-09-24,World Championship,2020.0,summer,INTZ,Legacy Esports,unikrn,2020-09-22 11:00:00,1.0,1.66,2.1,7.0,1.1,2.62,1.44,1.44,2.62,2.2,1.61,,
2020-09-24,World Championship,2020.0,summer,INTZ,Legacy Esports,unikrn,2020-09-22 11:00:00,,,,,,,,,,,,,
2020-09-24,World Championship,2020.0,summer,INTZ,Legacy Esports,unikrn,2020-09-22 11:00:00,,,,,,,,,,,,,
2020-09-24,World Championship,2020.0,summer,LGD,Talon Esports,unikrn,2020-09-22 11:00:00,1.0,1.36,3.0,10.0,1.06,3.25,1.33,1.72,2.0,,,1.83,1.83
2020-09-24,World Championship,2020.0,summer,LGD,Talon Esports,unikrn,2020-09-22 11:00:00,,,,,,,,,,,,,
2020-09-24,World Championship,2020.0,summer,LGD,Talon Esports,unikrn,2020-09-22 11:00:00,,,,,,,,,,,,,
2020-09-24,World Championship,2020.0,summer,MAD,TL,unikrn,2020-09-22 11:00:00,1.0,1.72,2.0,7.0,1.1,2.5,1.5,1.44,2.62,2.0,1.72,,
2020-09-24,World Championship,2020.0,summer,MAD,TL,unikrn,2020-09-22 11:00:00,,,,,,,,,,,,,
2020-09-24,World Championship,2020.0,summer,MAD,TL,unikrn,2020-09-22 11:00:00,,,,,,,,,,,,,
