date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Winner:home,special:Winner:away
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,unikrn,2020-08-31 23:00:00,1.0,1.33,3.25
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,unikrn,2020-08-31 23:00:00,2.0,1.33,3.25
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,unikrn,2020-08-31 23:00:00,3.0,1.33,3.25
2020-09-02,LVP SuperLiga,2020.0,summer,G2 Artic,Vodafone Giants,unikrn,2020-08-31 23:00:00,1.0,1.4,2.75
2020-09-02,LVP SuperLiga,2020.0,summer,G2 Artic,Vodafone Giants,unikrn,2020-08-31 23:00:00,2.0,1.4,2.75
2020-09-02,LVP SuperLiga,2020.0,summer,G2 Artic,Vodafone Giants,unikrn,2020-08-31 23:00:00,3.0,1.4,2.75
