date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Winner:home,special:Winner:away,over_under:Total Towers Destroyed:11.50:over,over_under:Total Towers Destroyed:11.50:under,over_under:Total Dragons Slain:4.50:over,over_under:Total Dragons Slain:4.50:under,over_under:Total Barons Slain:1.50:over,over_under:Total Barons Slain:1.50:under,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Slay a Dragon:yes,both:Teams to Slay a Dragon:no,both:Teams to Slay a Baron:yes,both:Teams to Slay a Baron:no,over_under:Total Towers Destroyed:12.50:over,over_under:Total Towers Destroyed:12.50:under
2020-08-29,LOL Development League,2020.0,summer,Invictus Gaming Young,Vici Gaming Potential,unikrn,2020-08-29 11:00:00,1.0,1.44,2.62,,,,,,,,,,,,,,,,
2020-08-29,LOL Development League,2020.0,summer,Invictus Gaming Young,Vici Gaming Potential,unikrn,2020-08-29 11:00:00,2.0,1.44,2.62,,,,,,,,,,,,,,,,
2020-08-29,LOL Development League,2020.0,summer,Invictus Gaming Young,Vici Gaming Potential,unikrn,2020-08-29 11:00:00,3.0,1.44,2.62,,,,,,,,,,,,,,,,
2020-08-29,LPL,2020.0,summer,IG,FPX,unikrn,2020-08-29 11:00:00,1.0,,,1.66,2.1,1.5,2.5,2.5,1.5,7.0,1.1,1.83,1.83,,,,,,
2020-08-29,LPL,2020.0,summer,IG,FPX,unikrn,2020-08-29 11:00:00,2.0,,,1.66,2.1,1.5,2.5,2.5,1.5,,,,,1.25,3.75,6.0,1.12,,
2020-08-29,LPL,2020.0,summer,IG,FPX,unikrn,2020-08-29 11:00:00,3.0,,,1.66,2.1,1.5,2.5,2.5,1.5,,,,,1.25,3.75,,,,
2020-08-29,LOL Development League,2020.0,summer,eStar.Y,LGD.Y,unikrn,2020-08-29 11:00:00,1.0,1.57,2.25,,,,,,,,,,,,,,,,
2020-08-29,LOL Development League,2020.0,summer,eStar.Y,LGD.Y,unikrn,2020-08-29 11:00:00,2.0,1.57,2.25,,,,,,,,,,,,,,,,
2020-08-29,LOL Development League,2020.0,summer,eStar.Y,LGD.Y,unikrn,2020-08-29 11:00:00,3.0,1.57,2.25,,,,,,,,,,,,,,,,
2020-08-29,VCS,2020.0,summer,Team Flash,GAM Esports,unikrn,2020-08-29 11:00:00,1.0,1.5,2.5,,,,,,,8.0,1.08,1.66,2.1,,,,,,
2020-08-29,VCS,2020.0,summer,Team Flash,GAM Esports,unikrn,2020-08-29 11:00:00,2.0,1.5,2.5,,,,,,,,,,,1.28,3.5,6.5,1.11,,
2020-08-29,VCS,2020.0,summer,Team Flash,GAM Esports,unikrn,2020-08-29 11:00:00,3.0,1.5,2.5,,,,,,,,,,,1.28,3.5,,,,
2020-08-30,LEC,2020.0,summer,Fnatic,G2,unikrn,2020-08-29 11:00:00,1.0,2.5,1.5,,,1.57,2.25,2.62,1.44,8.0,1.08,2.0,1.72,,,,,2.2,1.61
2020-08-30,LEC,2020.0,summer,Fnatic,G2,unikrn,2020-08-29 11:00:00,2.0,2.5,1.5,,,1.57,2.25,2.62,1.44,,,,,1.28,3.5,6.5,1.11,2.2,1.61
2020-08-30,LEC,2020.0,summer,Fnatic,G2,unikrn,2020-08-29 11:00:00,3.0,2.5,1.5,,,1.57,2.25,2.62,1.44,,,,,1.28,3.5,,,2.2,1.61
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,unikrn,2020-08-29 11:00:00,1.0,1.66,2.1,,,,,,,,,,,,,,,,
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,unikrn,2020-08-29 11:00:00,2.0,1.66,2.1,,,,,,,,,,,,,,,,
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,unikrn,2020-08-29 11:00:00,3.0,1.66,2.1,,,,,,,,,,,,,,,,
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,unikrn,2020-08-29 11:00:00,1.0,2.5,1.5,,,1.53,2.37,2.5,1.5,8.0,1.08,2.25,1.57,,,,,2.2,1.61
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,unikrn,2020-08-29 11:00:00,2.0,2.5,1.5,,,1.53,2.37,2.5,1.5,,,,,1.33,3.25,6.5,1.11,2.2,1.61
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,unikrn,2020-08-29 11:00:00,3.0,2.5,1.5,,,1.53,2.37,2.5,1.5,,,,,1.33,3.25,,,2.2,1.61
2020-08-30,LCK,2020.0,summer,GenG,DragonX,unikrn,2020-08-29 11:00:00,1.0,1.83,1.83,,,,,,,6.5,1.11,1.83,1.83,,,,,,
2020-08-30,LCK,2020.0,summer,GenG,DragonX,unikrn,2020-08-29 11:00:00,2.0,1.83,1.83,,,,,,,,,,,1.2,4.5,5.5,1.14,,
2020-08-30,LCK,2020.0,summer,GenG,DragonX,unikrn,2020-08-29 11:00:00,3.0,1.83,1.83,,,,,,,,,,,1.2,4.5,,,,
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,unikrn,2020-08-29 11:00:00,1.0,2.1,1.66,,,,,,,7.0,1.1,1.83,1.83,,,,,,
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,unikrn,2020-08-29 11:00:00,2.0,2.1,1.66,,,,,,,,,,,1.25,3.75,6.0,1.12,,
