date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time
2020-09-10,European Masters,2020.0,summer,LDLC OL,S04E,unikrn,2.10,1.66,2020-09-10 23:00:00
2020-09-10,European Masters,2020.0,summer,Morning Stars,K1CK Neosurf,unikrn,3.00,1.36,2020-09-10 23:00:00
2020-09-10,European Masters,2020.0,summer,Morning Stars,LDLC OL,unikrn,3.50,1.28,2020-09-10 23:00:00
2020-09-10,European Masters,2020.0,summer,K1CK Neosurf,S04E,unikrn,2.25,1.57,2020-09-10 23:00:00
2020-09-10,European Masters,2020.0,summer,S04E,Morning Stars,unikrn,1.25,3.75,2020-09-10 23:00:00
2020-09-10,European Masters,2020.0,summer,K1CK Neosurf,LDLC OL,unikrn,2.10,1.66,2020-09-10 23:00:00
2020-09-11,European Masters,2020.0,summer,Misfits Premier,We Love Gaming,unikrn,1.12,6.00,2020-09-10 23:00:00
2020-09-11,European Masters,2020.0,summer,Vodafone Giants,Pompa Team,unikrn,1.25,3.75,2020-09-10 23:00:00
2020-09-11,European Masters,2020.0,summer,Misfits Premier,Vodafone Giants,unikrn,1.53,2.37,2020-09-10 23:00:00
2020-09-11,European Masters,2020.0,summer,Pompa Team,We Love Gaming,unikrn,1.83,1.83,2020-09-10 23:00:00
2020-09-11,European Masters,2020.0,summer,Misfits Premier,Pompa Team,unikrn,1.14,5.50,2020-09-10 23:00:00
2020-09-11,European Masters,2020.0,summer,Vodafone Giants,We Love Gaming,unikrn,1.22,4.00,2020-09-10 23:00:00
2020-09-12,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,unikrn,1.83,1.83,2020-09-10 23:00:00
2020-09-12,European Masters,2020.0,summer,mousesports,Intrepid Fox,unikrn,1.10,7.00,2020-09-10 23:00:00
2020-09-12,European Masters,2020.0,summer,mousesports,GamersOrigin,unikrn,1.57,2.25,2020-09-10 23:00:00
2020-09-12,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,unikrn,6.00,1.12,2020-09-10 23:00:00
2020-09-12,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,unikrn,6.50,1.11,2020-09-10 23:00:00
2020-09-12,European Masters,2020.0,summer,Fnatic Rising,mousesports,unikrn,2.37,1.53,2020-09-10 23:00:00
