date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time
2020-09-22,LFL,2020.0,summer,MCES,LDLC OL,unikrn,5.50,1.14,2020-09-22 23:00:00
2020-09-22,LFL,2020.0,summer,GamersOrigin,IZI Dream,unikrn,1.36,3.00,2020-09-22 23:00:00
2020-09-22,LFL,2020.0,summer,Vitality.Bee,gameward,unikrn,1.83,1.83,2020-09-22 23:00:00
2020-09-22,LFL,2020.0,summer,Misfits Premier,Solary,unikrn,1.36,3.00,2020-09-22 23:00:00
2020-09-23,LFL,2020.0,summer,MCES,Vitality.Bee,unikrn,3.75,1.25,2020-09-22 23:00:00
2020-09-23,LFL,2020.0,summer,LDLC OL,GamersOrigin,unikrn,1.83,1.83,2020-09-22 23:00:00
2020-09-23,LFL,2020.0,summer,Misfits Premier,IZI Dream,unikrn,1.53,2.37,2020-09-22 23:00:00
2020-09-23,LFL,2020.0,summer,gameward,Solary,unikrn,1.50,2.50,2020-09-22 23:00:00
2020-09-24,World Championship,2020.0,summer,MAD,INTZ,unikrn,1.22,4.00,2020-09-22 23:00:00
2020-09-24,World Championship,2020.0,summer,Talon Esports,Rainbow7,unikrn,1.66,2.10,2020-09-22 23:00:00
2020-09-24,World Championship,2020.0,summer,INTZ,Legacy Esports,unikrn,1.57,2.25,2020-09-22 23:00:00
2020-09-24,World Championship,2020.0,summer,LGD,Talon Esports,unikrn,1.14,5.50,2020-09-22 23:00:00
2020-09-24,World Championship,2020.0,summer,MAD,TL,unikrn,1.61,2.20,2020-09-22 23:00:00
2020-10-05,World Championship,2020.0,summer,Suning,Machi Esports,unikrn,1.16,4.50,2020-09-22 23:00:00
2020-10-05,World Championship,2020.0,summer,DragonX,FlyQuest,unikrn,1.25,3.70,2020-09-22 23:00:00
2020-10-05,World Championship,2020.0,summer,Fnatic,GenG,unikrn,2.25,1.58,2020-09-22 23:00:00
2020-10-06,World Championship,2020.0,summer,Machi Esports,Suning,unikrn,4.50,1.16,2020-09-22 23:00:00
2020-10-06,World Championship,2020.0,summer,Machi Esports,G2,unikrn,5.50,1.12,2020-09-22 23:00:00
2020-10-06,World Championship,2020.0,summer,G2,Suning,unikrn,1.60,2.20,2020-09-22 23:00:00
2020-10-08,World Championship,2020.0,summer,Rogue,Damwon,unikrn,4.00,1.22,2020-09-22 23:00:00
2020-10-09,World Championship,2020.0,summer,Fnatic,TSM,unikrn,1.53,2.36,2020-09-22 23:00:00
2020-10-10,World Championship,2020.0,summer,DragonX,TES,unikrn,3.00,1.36,2020-09-22 23:00:00
