date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time,over_under:Total Maps Played:4.50:over,over_under:Total Maps Played:4.50:under,handicap:set_handicap:+1.50:home,handicap:set_handicap:-1.50:away,special:3-0,special:3-1,special:3-2,special:0-3,special:1-3,special:2-3,over_under:Total Maps Played:3.50:over,over_under:Total Maps Played:3.50:under,handicap:set_handicap:-2.50:home,handicap:set_handicap:+2.50:away,handicap:set_handicap:-1.50:home,handicap:set_handicap:+1.50:away,special:Team to Score a Penta Kill:home,special:Team to Score a Penta Kill:away,special:Team to Score a Quadra Kill:home,special:Team to Score a Quadra Kill:away,handicap:set_handicap:+2.50:home,handicap:set_handicap:-2.50:away
2020-09-04,LOL Development League,2020.0,summer,LGD.Y,FunPlus Phoenix Blaze,unikrn,2.75,1.40,2020-09-04 11:00:00,2.62,1.44,1.83,1.83,FPB 3-0:3.5,FPB 3-1:3.4,FPB 3-2:4.5,LGD.Y 3-0:15.0,LGD.Y 3-1:7.0,LGD.Y 3-2:6.0,,,,,,,,,,,,
2020-09-05,LVP SuperLiga,2020.0,summer,G2 Artic,Movistar Riders,unikrn,5.50,1.14,2020-09-04 11:00:00,,,,,G2A 3-0:21.0,G2A 3-1:13.0,G2A 3-2:8.5,MRS 3-0:2.4,MRS 3-1:3.2,MRS 3-2:5.0,1.57,2.25,2.5,1.5,,,,,,,,
2020-09-05,LCK,2020.0,summer,DragonX,Damwon,unikrn,3.50,1.28,2020-09-04 11:00:00,,,,,DWG 3-0:3.0,DWG 3-1:3.2,DWG 3-2:4.5,DRX 3-0:19.0,DRX 3-1:9.0,DRX 3-2:7.0,1.44,2.62,,,1.61,2.2,12.0,15.0,2.62,3.6,,
2020-09-05,LJL,2020.0,summer,Detonation FocusMe,Sengoku Gaming,unikrn,1.61,2.20,2020-09-04 11:00:00,2.5,1.5,1.5,2.5,DetonatioN FM 3-0:5.5,DetonatioN FM 3-1:3.8,DetonatioN FM 3-2:4.33,SG 3-0:8.0,SG 3-1:5.5,SG 3-2:5.0,,,,,,,12.0,12.0,3.0,2.8,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,unikrn,5.00,1.16,2020-09-04 11:00:00,,,,,5RN 3-0:21.0,5RN 3-1:13.0,5RN 3-2:8.5,Papara SuperMassive 3-0:2.4,Papara SuperMassive 3-1:3.2,Papara SuperMassive 3-2:5.0,1.57,2.25,,,,,15.0,12.0,4.0,2.62,1.5,2.5
2020-09-06,LEC,2020.0,summer,Rogue,G2,unikrn,3.50,1.28,2020-09-04 11:00:00,,,,,G2 3-0:3.0,G2 3-1:3.2,G2 3-2:4.5,Rogue 3-0:19.0,Rogue 3-1:9.0,Rogue 3-2:7.0,1.44,2.62,,,1.61,2.2,12.0,15.0,2.62,3.6,,
2020-09-06,CBLOL,2020.0,summer,INTZ,PAIN,unikrn,2.62,1.44,2020-09-04 11:00:00,2.62,1.44,,,INTZ 3-0:12.0,INTZ 3-1:7.0,INTZ 3-2:6.0,PAIN 3-0:3.75,PAIN 3-1:3.5,PAIN 3-2:4.33,,,,,2.0,1.72,12.0,15.0,2.8,3.6,,
2020-09-06,LCS,2020.0,summer,TSM,TL,unikrn,2.37,1.53,2020-09-04 11:00:00,2.5,1.5,,,TL 3-0:5.0,TL 3-1:3.8,TL 3-2:4.33,TSM 3-0:8.5,TSM 3-1:6.0,TSM 3-2:5.0,,,,,2.25,1.57,12.0,15.0,2.0,3.25,,
