date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,over_under:Total Towers Destroyed:11.50:over,over_under:Total Towers Destroyed:11.50:under,over_under:Total Dragons Slain:4.50:over,over_under:Total Dragons Slain:4.50:under,over_under:Total Barons Slain:1.50:over,over_under:Total Barons Slain:1.50:under,special:Winner:home,special:Winner:away,over_under:Game Time:32.00:over,over_under:Game Time:32.00:under,both:Teams to Slay a Dragon:yes,both:Teams to Slay a Dragon:no,both:Teams to Slay a Baron:yes,both:Teams to Slay a Baron:no,correct_number:Total Barons Slain:Four or More,correct_number:Total Barons Slain:One,correct_number:Total Barons Slain:Three,correct_number:Total Barons Slain:Two,correct_number:Total Barons Slain:Zero,correct_number:Total Dragons Slain:Five,correct_number:Total Dragons Slain:Four,correct_number:Total Dragons Slain:Seven or More,correct_number:Total Dragons Slain:Six,correct_number:Total Dragons Slain:Three,correct_number:Total Dragons Slain:Up to Two,correct_number:Total Towers Destroyed:Eleven,correct_number:Total Towers Destroyed:Fifteen,correct_number:Total Towers Destroyed:Fourteen,correct_number:Total Towers Destroyed:Seventeen or More,correct_number:Total Towers Destroyed:Sixteen,correct_number:Total Towers Destroyed:Ten,correct_number:Total Towers Destroyed:Thirteen,correct_number:Total Towers Destroyed:Twelve,correct_number:Total Towers Destroyed:Up to Nine,over_under:Total Towers Destroyed:12.50:over,over_under:Total Towers Destroyed:12.50:under
2020-09-28,World Championship,2020.0,summer,INTZ,TL,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,INTZ,TL,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,INTZ,TL,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Legacy Esports,Papara SuperMassive,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,2.25,1.57,1.83,1.83,1.53,2.37,2.75,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Legacy Esports,Papara SuperMassive,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,World Championship,2020.0,summer,Legacy Esports,Papara SuperMassive,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-29,LFL,2020.0,summer,IZI Dream,LDLC OL,unikrn,2020-09-28 23:00:00,1.0,,,,,,,,,,,1.4,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-29,LFL,2020.0,summer,IZI Dream,LDLC OL,unikrn,2020-09-28 23:00:00,2.0,,,,,,,,,,,1.4,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-29,LFL,2020.0,summer,IZI Dream,LDLC OL,unikrn,2020-09-28 23:00:00,3.0,,,,,,,,,,,1.4,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-29,World Championship,2020.0,summer,Rainbow7,LGD,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,2.37,1.53,1.83,1.83,1.61,2.2,3.0,1.36,3.25,1.33,1.83,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-29,World Championship,2020.0,summer,Rainbow7,LGD,unikrn,2020-09-28 23:00:00,2.0,,,,,1.83,1.83,1.61,2.2,3.0,1.36,3.25,1.33,1.83,1.83,1.33,3.25,7.0,1.1,,,,,,,,,,,,,,,,,,,,,,
2020-09-29,World Championship,2020.0,summer,Rainbow7,LGD,unikrn,2020-09-28 23:00:00,3.0,,,,,1.83,1.83,1.61,2.2,3.0,1.36,3.25,1.33,1.83,1.83,1.33,3.25,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship,2020.0,summer,FlyQuest,TES,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,2.62,1.44,1.72,2.0,1.72,2.0,3.25,1.33,,,,,,,,,41.0,1.5,23.0,3.5,7.5,2.5,2.62,12.0,5.5,9.0,51.0,4.5,15.0,10.0,34.0,23.0,6.0,5.5,3.6,7.0,,
2020-10-03,World Championship,2020.0,summer,FlyQuest,TES,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship,2020.0,summer,FlyQuest,TES,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship,2020.0,summer,Damwon,JDG,unikrn,2020-09-28 23:00:00,1.0,7.0,1.1,1.66,2.1,1.61,2.2,1.5,2.5,2.5,1.5,,,,,,,,,34.0,1.57,19.0,2.87,10.0,2.4,3.0,12.0,4.33,10.0,51.0,4.0,12.0,8.0,21.0,15.0,6.5,6.0,4.5,9.0,,
2020-10-03,World Championship,2020.0,summer,Damwon,JDG,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship,2020.0,summer,Damwon,JDG,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship,2020.0,summer,TSM,Fnatic,unikrn,2020-09-28 23:00:00,1.0,8.0,1.08,2.0,1.72,,,1.5,2.5,2.5,1.5,,,,,,,,,34.0,1.72,10.0,2.62,15.0,2.37,3.0,9.0,4.5,15.0,51.0,4.5,12.0,7.0,21.0,15.0,6.5,5.5,4.5,10.0,2.2,1.61
2020-10-03,World Championship,2020.0,summer,TSM,Fnatic,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship,2020.0,summer,TSM,Fnatic,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-28 23:00:00,1.0,7.0,1.1,1.72,2.0,,,1.5,2.5,2.5,1.5,,,,,,,,,34.0,1.61,15.0,3.2,7.5,2.5,2.87,12.0,4.5,10.0,34.0,5.5,12.0,7.0,21.0,15.0,7.5,4.0,4.5,10.0,2.0,1.72
2020-10-04,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship,2020.0,summer,Damwon,Rogue,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,2.5,1.5,1.83,1.83,1.72,2.0,3.25,1.33,,,,,,,,,29.0,1.53,17.0,3.4,8.5,2.62,2.75,12.0,5.5,7.0,34.0,4.0,15.0,8.0,26.0,21.0,5.5,7.0,4.5,6.5,,
2020-10-04,World Championship,2020.0,summer,Damwon,Rogue,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship,2020.0,summer,Damwon,Rogue,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship,2020.0,summer,TSM,GenG,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,1.57,2.25,1.61,2.2,1.53,2.37,3.0,1.36,,,,,,,,,34.0,1.5,15.0,3.6,9.0,2.5,2.75,12.0,4.5,15.0,26.0,4.5,19.0,8.0,34.0,26.0,6.0,5.0,4.0,7.0,,
2020-10-04,World Championship,2020.0,summer,TSM,GenG,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship,2020.0,summer,TSM,GenG,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,2.5,1.5,,,1.83,1.83,3.25,1.33,,,,,,,,,34.0,1.6,23.0,3.6,5.5,2.62,2.62,19.0,5.5,7.0,26.0,4.5,12.0,8.0,26.0,21.0,6.5,4.5,4.33,10.0,2.37,1.53
2020-10-05,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,JDG,Rogue,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,1.57,2.25,1.72,2.0,1.53,2.37,2.75,1.4,,,,,,,,,34.0,1.53,23.0,2.87,11.0,2.5,2.8,15.0,4.5,10.0,34.0,3.6,15.0,7.0,34.0,26.0,6.0,5.5,4.5,10.0,,
2020-10-05,World Championship,2020.0,summer,JDG,Rogue,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,JDG,Rogue,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,TES,DragonX,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,1.61,2.2,1.66,2.1,1.53,2.37,2.75,1.4,,,,,,,,,34.0,1.57,15.0,3.2,8.5,2.4,2.8,12.0,5.5,9.0,34.0,4.5,15.0,10.0,26.0,21.0,6.5,5.5,4.0,6.0,,
2020-10-05,World Championship,2020.0,summer,TES,DragonX,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship,2020.0,summer,TES,DragonX,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,Suning,Machi Esports,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,1.5,2.5,1.72,2.0,1.57,2.25,3.0,1.36,,,,,,,,,34.0,1.53,11.0,3.5,10.0,2.37,2.62,15.0,5.0,15.0,23.0,4.33,15.0,9.0,41.0,21.0,5.0,5.0,4.5,8.0,,
2020-10-06,World Championship,2020.0,summer,Suning,Machi Esports,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,Suning,Machi Esports,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,DragonX,FlyQuest,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,1.53,2.37,1.83,1.83,1.57,2.25,3.0,1.36,,,,,,,,,34.0,1.53,11.0,3.75,8.5,2.4,2.8,12.0,6.0,9.0,23.0,4.5,15.0,12.0,23.0,19.0,7.0,6.0,4.0,5.0,,
2020-10-06,World Championship,2020.0,summer,DragonX,FlyQuest,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,DragonX,FlyQuest,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,Fnatic,GenG,unikrn,2020-09-28 23:00:00,1.0,8.0,1.08,2.1,1.66,,,1.44,2.62,2.62,1.44,,,,,,,,,23.0,1.53,15.0,3.2,12.0,2.3,3.0,12.0,4.0,21.0,34.0,5.0,15.0,8.0,26.0,21.0,6.0,4.5,4.33,8.0,2.25,1.57
2020-10-06,World Championship,2020.0,summer,Fnatic,GenG,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,World Championship,2020.0,summer,Fnatic,GenG,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,Machi Esports,Suning,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,2.5,1.5,1.72,2.0,1.57,2.25,3.0,1.36,,,,,,,,,34.0,1.53,11.0,3.5,10.0,2.37,2.62,15.0,5.0,15.0,23.0,4.33,15.0,9.0,41.0,21.0,5.0,5.0,4.5,8.0,,
2020-10-08,World Championship,2020.0,summer,Machi Esports,Suning,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,Machi Esports,Suning,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,1.44,2.62,,,1.83,1.83,3.25,1.33,,,,,,,,,34.0,1.6,23.0,3.6,5.5,2.62,2.62,19.0,5.5,7.0,26.0,4.5,12.0,8.0,26.0,21.0,6.5,4.5,4.33,10.0,2.37,1.53
2020-10-08,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,Machi Esports,G2,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-28 23:00:00,1.0,7.0,1.1,1.83,1.83,,,1.5,2.5,2.5,1.5,,,,,,,,,34.0,1.61,15.0,3.2,7.5,2.5,2.87,12.0,4.5,10.0,34.0,5.5,12.0,7.0,21.0,15.0,7.5,4.0,4.5,10.0,2.0,1.72
2020-10-08,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,World Championship,2020.0,summer,G2,Suning,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,World Championship,2020.0,summer,Rogue,JDG,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,2.25,1.57,1.72,2.0,1.53,2.37,2.75,1.4,,,,,,,,,34.0,1.53,23.0,2.87,11.0,2.5,2.8,15.0,4.5,10.0,34.0,3.6,15.0,7.0,34.0,26.0,6.0,5.5,4.5,10.0,,
2020-10-09,World Championship,2020.0,summer,Rogue,JDG,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,World Championship,2020.0,summer,Rogue,JDG,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,World Championship,2020.0,summer,Rogue,Damwon,unikrn,2020-09-28 23:00:00,1.0,10.0,1.06,1.5,2.5,1.83,1.83,1.72,2.0,3.25,1.33,,,,,,,,,29.0,1.53,17.0,3.4,8.5,2.62,2.75,12.0,5.5,7.0,34.0,4.0,15.0,8.0,26.0,21.0,5.5,7.0,4.5,6.5,,
2020-10-09,World Championship,2020.0,summer,Rogue,Damwon,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,World Championship,2020.0,summer,Rogue,Damwon,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,World Championship,2020.0,summer,JDG,Damwon,unikrn,2020-09-28 23:00:00,1.0,7.0,1.1,2.0,1.72,1.61,2.2,1.5,2.5,2.5,1.5,,,,,,,,,34.0,1.57,19.0,2.87,10.0,2.4,3.0,12.0,4.33,10.0,51.0,4.0,12.0,8.0,21.0,15.0,6.5,6.0,4.5,9.0,,
2020-10-09,World Championship,2020.0,summer,JDG,Damwon,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,World Championship,2020.0,summer,JDG,Damwon,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship,2020.0,summer,Fnatic,TSM,unikrn,2020-09-28 23:00:00,1.0,8.0,1.08,1.66,2.1,,,1.5,2.5,2.5,1.5,,,,,,,,,34.0,1.72,10.0,2.62,15.0,2.37,3.0,9.0,4.5,15.0,51.0,4.5,12.0,7.0,21.0,15.0,6.5,5.5,4.5,10.0,2.2,1.61
2020-10-10,World Championship,2020.0,summer,Fnatic,TSM,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship,2020.0,summer,Fnatic,TSM,unikrn,2020-09-28 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
