date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,special:Winner:home,special:Winner:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,both:Teams to Slay a Dragon:yes,both:Teams to Slay a Dragon:no,both:Teams to Slay a Baron:yes,both:Teams to Slay a Baron:no,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away
2020-09-06,LCS,2020.0,summer,TSM,TL,unikrn,2020-09-06 11:00:00,,,,,,,,,,,
2020-09-06,LCS,2020.0,summer,TSM,TL,unikrn,2020-09-06 11:00:00,,,,,,,,,,,
2020-09-06,LCS,2020.0,summer,TSM,TL,unikrn,2020-09-06 11:00:00,,,,,,,,,,,
2020-09-06,CBLOL,2020.0,summer,INTZ,PAIN,unikrn,2020-09-06 11:00:00,,,,,,,,,,,
2020-09-06,CBLOL,2020.0,summer,INTZ,PAIN,unikrn,2020-09-06 11:00:00,,,,,,,,,,,
2020-09-06,CBLOL,2020.0,summer,INTZ,PAIN,unikrn,2020-09-06 11:00:00,3.0,1.66,2.1,,,,,,,,
2020-09-06,LJL,2020.0,summer,Detonation FocusMe,V3 Esports,unikrn,2020-09-06 11:00:00,1.0,2.0,1.72,7.0,1.1,,,,,1.83,1.83
2020-09-06,LJL,2020.0,summer,Detonation FocusMe,V3 Esports,unikrn,2020-09-06 11:00:00,2.0,2.0,1.72,,,1.22,4.0,6.0,1.12,,
2020-09-06,LJL,2020.0,summer,Detonation FocusMe,V3 Esports,unikrn,2020-09-06 11:00:00,3.0,2.0,1.72,,,1.22,4.0,,,,
2020-09-06,LOL Development League,2020.0,summer,IG Young,Shu Dai Xiong Gaming,unikrn,2020-09-06 11:00:00,1.0,1.5,2.5,,,,,,,,
2020-09-06,LOL Development League,2020.0,summer,IG Young,Shu Dai Xiong Gaming,unikrn,2020-09-06 11:00:00,2.0,1.5,2.5,,,,,,,,
2020-09-06,LOL Development League,2020.0,summer,IG Young,Shu Dai Xiong Gaming,unikrn,2020-09-06 11:00:00,3.0,1.5,2.5,,,,,,,,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,unikrn,2020-09-06 11:00:00,1.0,1.53,2.37,,,,,,,,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,unikrn,2020-09-06 11:00:00,2.0,1.53,2.37,,,,,,,,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,unikrn,2020-09-06 11:00:00,3.0,1.53,2.37,,,,,,,,
