date,league_name,year,season,team_1,team_2,betting_site,special:game_win:home,special:game_win:away,saved_time
2020-09-11,European Masters,2020.0,summer,Misfits Premier,We Love Gaming,unikrn,1.16,5.00,2020-09-11 11:00:00
2020-09-11,European Masters,2020.0,summer,Vodafone Giants,Pompa Team,unikrn,1.25,3.75,2020-09-11 11:00:00
2020-09-11,European Masters,2020.0,summer,Misfits Premier,Vodafone Giants,unikrn,1.53,2.37,2020-09-11 11:00:00
2020-09-11,European Masters,2020.0,summer,Pompa Team,We Love Gaming,unikrn,1.83,1.83,2020-09-11 11:00:00
2020-09-11,European Masters,2020.0,summer,Misfits Premier,Pompa Team,unikrn,1.14,5.50,2020-09-11 11:00:00
2020-09-11,European Masters,2020.0,summer,Vodafone Giants,We Love Gaming,unikrn,1.22,4.00,2020-09-11 11:00:00
2020-09-12,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,unikrn,1.72,2.00,2020-09-11 11:00:00
2020-09-12,European Masters,2020.0,summer,mousesports,Intrepid Fox,unikrn,1.10,7.00,2020-09-11 11:00:00
2020-09-12,European Masters,2020.0,summer,mousesports,GamersOrigin,unikrn,1.57,2.25,2020-09-11 11:00:00
2020-09-12,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,unikrn,6.00,1.12,2020-09-11 11:00:00
2020-09-12,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,unikrn,6.50,1.11,2020-09-11 11:00:00
2020-09-12,European Masters,2020.0,summer,Fnatic Rising,mousesports,unikrn,2.37,1.53,2020-09-11 11:00:00
