league_id,year,season,date,home_team_id,away_team_id,tiebreaker,match_round,match_id
11,2017,spring,2017-01-17,301,401,0,1,1320
11,2017,spring,2017-01-17,359,140,0,1,1321
11,2017,spring,2017-01-18,170,276,0,1,1322
11,2017,spring,2017-01-18,363,342,0,1,1323
11,2017,spring,2017-01-19,140,401,0,1,1324
11,2017,spring,2017-01-19,359,301,0,1,1325
11,2017,spring,2017-01-24,342,170,0,2,1326
11,2017,spring,2017-01-24,276,363,0,2,1327
11,2017,spring,2017-01-25,301,140,0,2,1328
11,2017,spring,2017-01-25,401,359,0,2,1329
11,2017,spring,2017-02-06,401,276,0,3,1330
11,2017,spring,2017-02-06,301,342,0,3,1331
11,2017,spring,2017-02-07,140,170,0,3,1332
11,2017,spring,2017-02-07,359,363,0,3,1333
11,2017,spring,2017-02-08,342,401,0,3,1334
11,2017,spring,2017-02-08,276,301,0,3,1335
11,2017,spring,2017-02-09,363,140,0,3,1336
11,2017,spring,2017-02-09,170,359,0,3,1337
11,2017,spring,2017-02-14,359,276,0,4,1338
11,2017,spring,2017-02-14,140,342,0,4,1339
11,2017,spring,2017-02-15,301,170,0,4,1340
11,2017,spring,2017-02-15,401,363,0,4,1341
11,2017,spring,2017-02-16,342,359,0,4,1342
11,2017,spring,2017-02-16,276,140,0,4,1343
11,2017,spring,2017-02-21,363,301,0,5,1344
11,2017,spring,2017-02-21,170,401,0,5,1345
11,2017,spring,2017-02-22,170,363,0,5,1346
11,2017,spring,2017-02-22,276,342,0,5,1347
11,2017,spring,2017-02-23,140,359,0,5,1348
11,2017,spring,2017-02-23,401,301,0,5,1349
11,2017,spring,2017-03-07,342,363,0,6,1350
11,2017,spring,2017-03-07,276,170,0,6,1351
11,2017,spring,2017-03-08,301,359,0,6,1352
11,2017,spring,2017-03-08,401,140,0,6,1353
11,2017,spring,2017-03-09,363,276,0,6,1354
11,2017,spring,2017-03-09,170,342,0,6,1355
11,2017,spring,2017-03-14,359,401,0,7,1356
11,2017,spring,2017-03-14,140,301,0,7,1357
11,2017,spring,2017-03-15,342,301,0,7,1358
11,2017,spring,2017-03-15,276,401,0,7,1359
11,2017,spring,2017-03-16,363,359,0,7,1360
11,2017,spring,2017-03-16,170,140,0,7,1361
11,2017,spring,2017-03-21,301,276,0,8,1362
11,2017,spring,2017-03-21,401,342,0,8,1363
11,2017,spring,2017-03-22,359,170,0,8,1364
11,2017,spring,2017-03-22,140,363,0,8,1365
11,2017,spring,2017-03-23,342,140,0,8,1366
11,2017,spring,2017-03-23,276,359,0,8,1367
11,2017,spring,2017-03-27,363,401,0,9,1368
11,2017,spring,2017-03-27,170,301,0,9,1369
11,2017,spring,2017-03-28,140,276,0,9,1370
11,2017,spring,2017-03-28,359,342,0,9,1371
11,2017,spring,2017-03-29,401,170,0,9,1372
11,2017,spring,2017-03-29,301,363,0,9,1373
11,2017,summer,2017-06-06,8,363,0,1,1374
11,2017,summer,2017-06-06,250,329,0,1,1375
11,2017,summer,2017-06-07,170,301,0,1,1376
11,2017,summer,2017-06-07,103,295,0,1,1377
11,2017,summer,2017-06-08,329,363,0,1,1378
11,2017,summer,2017-06-08,250,8,0,1,1379
11,2017,summer,2017-06-13,295,301,0,2,1380
11,2017,summer,2017-06-13,103,170,0,2,1381
11,2017,summer,2017-06-14,8,329,0,2,1382
11,2017,summer,2017-06-14,363,250,0,2,1383
11,2017,summer,2017-06-15,170,295,0,2,1384
11,2017,summer,2017-06-15,301,103,0,2,1385
11,2017,summer,2017-06-20,301,363,0,3,1386
