match_round,home_team_id,date,league_id,away_team_id,season,tiebreaker,year
1,384,2020-01-21,5,407,spring,0,2020.0
1,344,2020-01-21,5,433,spring,0,2020.0
1,384,2020-01-21,5,364,spring,0,2020.0
1,344,2020-01-21,5,273,spring,0,2020.0
2,433,2020-01-28,5,364,spring,0,2020.0
2,407,2020-01-28,5,273,spring,0,2020.0
2,433,2020-01-28,5,384,spring,0,2020.0
2,407,2020-01-28,5,344,spring,0,2020.0
3,364,2020-02-04,5,344,spring,0,2020.0
3,273,2020-02-04,5,384,spring,0,2020.0
3,364,2020-02-04,5,407,spring,0,2020.0
3,273,2020-02-04,5,433,spring,0,2020.0
4,384,2020-02-11,5,344,spring,0,2020.0
4,364,2020-02-11,5,273,spring,0,2020.0
4,407,2020-02-11,5,433,spring,0,2020.0
5,344,2020-03-12,5,433,spring,0,2020.0
5,384,2020-03-12,5,364,spring,0,2020.0
5,344,2020-03-12,5,273,spring,0,2020.0
5,384,2020-03-12,5,407,spring,0,2020.0
6,407,2020-02-25,5,344,spring,0,2020.0
6,433,2020-02-25,5,384,spring,0,2020.0
6,407,2020-02-25,5,273,spring,0,2020.0
6,433,2020-02-25,5,364,spring,0,2020.0
7,273,2020-03-03,5,433,spring,0,2020.0
7,364,2020-03-03,5,407,spring,0,2020.0
7,273,2020-03-03,5,384,spring,0,2020.0
7,364,2020-03-03,5,344,spring,0,2020.0
8,407,2020-03-10,5,433,spring,0,2020.0
8,364,2020-03-10,5,273,spring,0,2020.0
8,384,2020-03-10,5,344,spring,0,2020.0
1,344,2020-06-02,5,384,summer,0,2020.0
1,407,2020-06-02,5,364,summer,0,2020.0
1,344,2020-06-02,5,273,summer,0,2020.0
1,407,2020-06-02,5,287,summer,0,2020.0
2,364,2020-06-09,5,273,summer,0,2020.0
2,384,2020-06-09,5,287,summer,0,2020.0
2,364,2020-06-09,5,344,summer,0,2020.0
2,384,2020-06-09,5,407,summer,0,2020.0
3,273,2020-06-16,5,407,summer,0,2020.0
3,287,2020-06-16,5,344,summer,0,2020.0
3,273,2020-06-16,5,384,summer,0,2020.0
3,287,2020-06-16,5,364,summer,0,2020.0
4,344,2020-06-23,5,407,summer,0,2020.0
4,273,2020-06-23,5,287,summer,0,2020.0
4,384,2020-06-23,5,364,summer,0,2020.0
