league_id,year,season,date,home_team_id,away_team_id,tiebreaker,match_round,match_id,team_1,team_2,league_name,patch
5,2020,spring,2020-01-21,384,407,0,1,1,Brussels Guardians,RSCA,BL,
5,2020,spring,2020-01-21,344,433,0,1,2,Sector One,Timeout Esports,BL,
5,2020,spring,2020-01-21,384,364,0,1,3,Brussels Guardians,KV Mechelen,BL,
5,2020,spring,2020-01-21,344,273,0,1,4,Sector One,Aethra,BL,
5,2020,spring,2020-01-28,433,364,0,2,5,Timeout Esports,KV Mechelen,BL,
5,2020,spring,2020-01-28,407,273,0,2,6,RSCA,Aethra,BL,
5,2020,spring,2020-01-28,433,384,0,2,7,Timeout Esports,Brussels Guardians,BL,
5,2020,spring,2020-01-28,407,344,0,2,8,RSCA,Sector One,BL,
5,2020,spring,2020-02-04,364,344,0,3,9,KV Mechelen,Sector One,BL,
5,2020,spring,2020-02-04,273,384,0,3,10,Aethra,Brussels Guardians,BL,
5,2020,spring,2020-02-04,364,407,0,3,11,KV Mechelen,RSCA,BL,
5,2020,spring,2020-02-04,273,433,0,3,12,Aethra,Timeout Esports,BL,
5,2020,spring,2020-02-11,384,344,0,4,13,Brussels Guardians,Sector One,BL,
5,2020,spring,2020-02-11,364,273,0,4,14,KV Mechelen,Aethra,BL,
5,2020,spring,2020-02-11,407,433,0,4,15,RSCA,Timeout Esports,BL,
5,2020,spring,2020-03-12,344,433,0,5,16,Sector One,Timeout Esports,BL,
5,2020,spring,2020-03-12,384,364,0,5,17,Brussels Guardians,KV Mechelen,BL,
5,2020,spring,2020-03-12,344,273,0,5,18,Sector One,Aethra,BL,
5,2020,spring,2020-03-12,384,407,0,5,19,Brussels Guardians,RSCA,BL,
5,2020,spring,2020-02-25,407,344,0,6,20,RSCA,Sector One,BL,
5,2020,spring,2020-02-25,433,384,0,6,21,Timeout Esports,Brussels Guardians,BL,
5,2020,spring,2020-02-25,407,273,0,6,22,RSCA,Aethra,BL,
5,2020,spring,2020-02-25,433,364,0,6,23,Timeout Esports,KV Mechelen,BL,
5,2020,spring,2020-03-03,273,433,0,7,24,Aethra,Timeout Esports,BL,
5,2020,spring,2020-03-03,364,407,0,7,25,KV Mechelen,RSCA,BL,
5,2020,spring,2020-03-03,273,384,0,7,26,Aethra,Brussels Guardians,BL,
5,2020,spring,2020-03-03,364,344,0,7,27,KV Mechelen,Sector One,BL,
5,2020,spring,2020-03-10,407,433,0,8,28,RSCA,Timeout Esports,BL,
5,2020,spring,2020-03-10,364,273,0,8,29,KV Mechelen,Aethra,BL,
5,2020,spring,2020-03-10,384,344,0,8,30,Brussels Guardians,Sector One,BL,
5,2020,summer,2020-06-02,344,384,0,1,31,Sector One,Brussels Guardians,BL,
5,2020,summer,2020-06-02,407,364,0,1,32,RSCA,KV Mechelen,BL,
5,2020,summer,2020-06-02,344,273,0,1,33,Sector One,Aethra,BL,
5,2020,summer,2020-06-02,407,287,0,1,34,RSCA,Team 7AM,BL,
5,2020,summer,2020-06-09,364,273,0,2,35,KV Mechelen,Aethra,BL,
5,2020,summer,2020-06-09,384,287,0,2,36,Brussels Guardians,Team 7AM,BL,
5,2020,summer,2020-06-09,364,344,0,2,37,KV Mechelen,Sector One,BL,
5,2020,summer,2020-06-09,384,407,0,2,38,Brussels Guardians,RSCA,BL,
5,2020,summer,2020-06-16,273,407,0,3,39,Aethra,RSCA,BL,
5,2020,summer,2020-06-16,287,344,0,3,40,Team 7AM,Sector One,BL,
5,2020,summer,2020-06-16,273,384,0,3,41,Aethra,Brussels Guardians,BL,
5,2020,summer,2020-06-16,287,364,0,3,42,Team 7AM,KV Mechelen,BL,
5,2020,summer,2020-06-23,344,407,0,4,43,Sector One,RSCA,BL,
5,2020,summer,2020-06-23,273,287,0,4,44,Aethra,Team 7AM,BL,
5,2020,summer,2020-06-23,384,364,0,4,45,Brussels Guardians,KV Mechelen,BL,
5,2020,summer,2020-06-30,407,287,0,5,46,RSCA,Team 7AM,BL,
5,2020,summer,2020-06-30,344,273,0,5,47,Sector One,Aethra,BL,
5,2020,summer,2020-06-30,407,364,0,5,48,RSCA,KV Mechelen,BL,
5,2020,summer,2020-06-30,344,384,0,5,49,Sector One,Brussels Guardians,BL,
5,2020,summer,2020-07-07,384,287,0,6,50,Brussels Guardians,Team 7AM,BL,
5,2020,summer,2020-07-07,364,344,0,6,51,KV Mechelen,Sector One,BL,
5,2020,summer,2020-07-07,384,407,0,6,52,Brussels Guardians,RSCA,BL,
5,2020,summer,2020-07-07,364,273,0,6,53,KV Mechelen,Aethra,BL,
