league_id,year,season,date,home_team_id,away_team_id,tiebreaker,match_round
5,2020.0,spring,2020-01-21,384,407,0,1
5,2020.0,spring,2020-01-21,344,433,0,1
5,2020.0,spring,2020-01-21,384,364,0,1
5,2020.0,spring,2020-01-21,344,273,0,1
5,2020.0,spring,2020-01-28,433,364,0,2
5,2020.0,spring,2020-01-28,407,273,0,2
5,2020.0,spring,2020-01-28,433,384,0,2
5,2020.0,spring,2020-01-28,407,344,0,2
5,2020.0,spring,2020-02-04,364,344,0,3
5,2020.0,spring,2020-02-04,273,384,0,3
5,2020.0,spring,2020-02-04,364,407,0,3
5,2020.0,spring,2020-02-04,273,433,0,3
5,2020.0,spring,2020-02-11,384,344,0,4
5,2020.0,spring,2020-02-11,364,273,0,4
5,2020.0,spring,2020-02-11,407,433,0,4
5,2020.0,spring,2020-03-12,344,433,0,5
5,2020.0,spring,2020-03-12,384,364,0,5
5,2020.0,spring,2020-03-12,344,273,0,5
5,2020.0,spring,2020-03-12,384,407,0,5
5,2020.0,spring,2020-02-25,407,344,0,6
5,2020.0,spring,2020-02-25,433,384,0,6
5,2020.0,spring,2020-02-25,407,273,0,6
5,2020.0,spring,2020-02-25,433,364,0,6
5,2020.0,spring,2020-03-03,273,433,0,7
5,2020.0,spring,2020-03-03,364,407,0,7
5,2020.0,spring,2020-03-03,273,384,0,7
5,2020.0,spring,2020-03-03,364,344,0,7
5,2020.0,spring,2020-03-10,407,433,0,8
5,2020.0,spring,2020-03-10,364,273,0,8
5,2020.0,spring,2020-03-10,384,344,0,8
5,2020.0,summer,2020-06-02,344,384,0,1
5,2020.0,summer,2020-06-02,407,364,0,1
5,2020.0,summer,2020-06-02,344,273,0,1
5,2020.0,summer,2020-06-02,407,287,0,1
5,2020.0,summer,2020-06-09,364,273,0,2
5,2020.0,summer,2020-06-09,384,287,0,2
5,2020.0,summer,2020-06-09,364,344,0,2
5,2020.0,summer,2020-06-09,384,407,0,2
5,2020.0,summer,2020-06-16,273,407,0,3
5,2020.0,summer,2020-06-16,287,344,0,3
5,2020.0,summer,2020-06-16,273,384,0,3
5,2020.0,summer,2020-06-16,287,364,0,3
5,2020.0,summer,2020-06-23,344,407,0,4
5,2020.0,summer,2020-06-23,273,287,0,4
5,2020.0,summer,2020-06-23,384,364,0,4
5,2020.0,summer,2020-06-30,407,287,0,5
5,2020.0,summer,2020-06-30,344,273,0,5
5,2020.0,summer,2020-06-30,407,364,0,5
5,2020.0,summer,2020-06-30,344,384,0,5
